2020-08-13 19:09:56 [ERROR pid is 0 ,need create
2020-08-14 14:09:25 [ERROR error getting mining info => connection outage...                               
2020-08-19 21:29:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:30:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:31:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:32:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:33:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:34:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:35:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:36:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:37:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:38:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:39:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:40:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:41:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:42:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:43:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:44:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:45:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:46:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:47:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:48:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:49:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:50:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:51:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:52:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:53:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:54:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:55:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:56:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
2020-08-19 21:57:00 [ERROR requet error Err(Error("expected value", line: 1, column: 1))
